elapsed_seconds,ndm_rss_kib,ndm_cpu_percent,daemon_rss_kib,daemon_cpu_percent,protected_health
0,119832,1.0,47216,0.9,200
15,119904,1.0,47968,0.8,200
30,117936,0.9,44752,0.8,200
45,121108,0.9,48816,0.8,200
60,121156,0.8,47216,0.8,200
75,121236,0.8,47264,0.8,200
90,120756,0.8,44112,0.8,200
105,121260,0.8,44012,0.8,200
120,120972,0.8,44176,0.8,200
135,121872,0.8,45460,0.8,200
150,121092,0.7,45672,0.8,200
165,123560,0.7,49552,0.8,200
180,123572,0.7,47264,0.8,200
195,122636,0.7,47564,0.8,200
210,122636,0.7,47544,0.8,200
225,122096,0.7,46276,0.8,200
240,122096,0.7,46280,0.8,200
255,122124,0.7,46284,0.8,200
270,119188,0.7,45800,0.8,200
285,119404,0.7,45672,0.8,200
300,119552,0.6,49660,0.8,200
315,119728,0.6,49440,0.8,200
330,120048,0.6,45724,0.8,200
345,120460,0.6,45704,0.8,200
360,120664,0.6,45716,0.8,200
375,121044,0.6,45744,0.8,200
390,121288,0.6,45744,0.7,200
405,121784,0.6,45752,0.7,200
420,122012,0.6,45752,0.7,200
436,123036,0.6,49704,0.7,200
451,122944,0.6,49580,0.7,200
466,122944,0.6,49384,0.7,200
481,122944,0.6,49568,0.7,200
496,122944,0.6,49588,0.7,200
511,122944,0.6,49600,0.7,200
526,122944,0.6,49604,0.7,200
541,122944,0.6,49604,0.7,200
556,122944,0.6,49508,0.7,200
571,122944,0.6,49688,0.7,200
586,122944,0.6,49668,0.7,200
601,122204,0.6,48244,0.7,200
616,122204,0.6,48248,0.7,200
631,122204,0.6,48252,0.7,200
646,122204,0.6,48256,0.7,200
661,122204,0.6,48276,0.7,200
676,122204,0.6,48632,0.7,200
691,122204,0.6,48960,0.7,200
706,122264,0.6,48964,0.7,200
721,122292,0.6,48968,0.7,200
736,122352,0.6,48948,0.7,200
751,122392,0.5,48952,0.7,200
766,122576,0.6,47744,0.7,200
781,122772,0.5,47748,0.7,200
796,123660,0.6,48072,0.7,200
811,123676,0.5,48084,0.7,200
826,123676,0.5,48112,0.7,200
841,123676,0.5,48092,0.7,200
856,123676,0.5,48112,0.7,200
872,123676,0.5,48116,0.7,200
887,123684,0.5,48120,0.7,200
902,123684,0.5,48436,0.7,200
917,123684,0.5,48440,0.7,200
932,123684,0.5,48440,0.7,200
947,124376,0.5,48492,0.7,200
962,124376,0.5,48492,0.7,200
977,124376,0.5,48824,0.7,200
992,124376,0.5,48828,0.7,200
1007,124376,0.5,48832,0.7,200
1022,124376,0.5,48836,0.7,200
1037,124388,0.5,48844,0.7,200
1052,124388,0.5,48844,0.7,200
1067,124436,0.5,48856,0.7,200
1082,124464,0.5,48884,0.7,200
1097,124524,0.5,48868,0.7,200
1112,124556,0.5,48880,0.7,200
1127,124616,0.5,48896,0.7,200
1142,124648,0.5,48904,0.7,200
1157,124380,0.5,48916,0.7,200
1172,124380,0.5,48924,0.7,200
1187,124380,0.5,48940,0.7,200
1202,124380,0.5,48948,0.7,200
1217,124380,0.5,48988,0.7,200
1232,124380,0.5,48992,0.7,200
1247,124380,0.5,49000,0.7,200
1262,124388,0.5,49008,0.7,200
1277,124388,0.5,49012,0.7,200
1292,124388,0.5,49016,0.7,200
1307,124388,0.5,49328,0.7,200
1323,124388,0.5,49340,0.7,200
1338,124284,0.5,48844,0.7,200
1353,124284,0.5,48832,0.7,200
1368,124284,0.5,49124,0.7,200
1383,124284,0.5,49764,0.7,200
1398,124284,0.5,50152,0.7,200
1413,124284,0.5,50200,0.7,200
1428,124340,0.5,50292,0.7,200
1443,124368,0.5,50292,0.7,200
1458,124424,0.5,50312,0.7,200
1473,124456,0.5,50380,0.7,200
1488,124516,0.5,50396,0.7,200
1503,124396,0.5,50160,0.7,200
1518,124224,0.5,50172,0.7,200
1533,124304,0.5,50220,0.7,200
1548,123348,0.5,50224,0.7,200
1563,123348,0.5,50244,0.7,200
1578,123348,0.5,50256,0.7,200
1593,123348,0.5,50296,0.7,200
1608,123348,0.5,50572,0.7,200
1623,123360,0.5,50552,0.7,200
1638,123360,0.5,50552,0.7,200
1653,123360,0.5,50560,0.7,200
1668,123360,0.5,50564,0.7,200
1683,123360,0.5,50568,0.7,200
1698,123360,0.5,50572,0.7,200
1713,123360,0.5,51012,0.7,200
1728,122676,0.5,51032,0.7,200
1743,122676,0.5,51088,0.7,200
1758,122676,0.5,51080,0.7,200
1774,122700,0.5,51096,0.7,200
1789,122732,0.5,51100,0.7,200
